date,code,open,high,low,close,preclose,volume,amount,pctChg
2009-01-09,sh.000037,1770.2800,1823.1600,1770.2800,1822.5800,0.0000,179460000,1693000000.0000,0.000000
2009-01-12,sh.000037,1816.6300,1851.5700,1812.5400,1829.9000,1822.5800,192340000,1807000000.0000,0.401632
2009-01-13,sh.000037,1818.1400,1819.9100,1772.8300,1774.5600,1829.9000,153460000,1455000000.0000,-3.024207
2009-01-14,sh.000037,1768.0500,1818.7000,1768.0500,1817.2400,1774.5600,151090000,1446000000.0000,2.405099
2009-01-15,sh.000037,1807.7100,1829.6000,1795.2500,1814.1000,1817.2400,178570000,1734000000.0000,-0.172790
2009-01-16,sh.000037,1819.9500,1838.5500,1809.7300,1818.7400,1814.1000,226500000,2255000000.0000,0.255775
2009-01-19,sh.000037,1822.2000,1834.1900,1780.6200,1797.4500,1818.7400,227090000,2159000000.0000,-1.170593
2009-01-20,sh.000037,1795.0900,1827.5200,1791.3800,1827.4500,1797.4500,201550000,1926000000.0000,1.669031
2009-01-21,sh.000037,1807.6400,1839.8700,1802.2100,1826.3300,1827.4500,217140000,2210000000.0000,-0.061287
2009-01-22,sh.000037,1864.2600,1894.9000,1860.8100,1865.8300,1826.3300,277290000,2861000000.0000,2.162807
2009-01-23,sh.000037,1866.7300,1867.6900,1840.7800,1843.0900,1865.8300,147120000,1540000000.0000,-1.218760
2009-02-02,sh.000037,1851.0700,1868.1800,1841.9100,1867.5600,1843.0900,136150000,1377000000.0000,1.327667
2009-02-03,sh.000037,1867.5200,1890.9200,1859.0600,1890.7600,1867.5600,190910000,1945000000.0000,1.242260
2009-02-04,sh.000037,1895.1400,1909.8200,1892.1700,1909.4800,1890.7600,245810000,2508000000.0000,0.990077
2009-02-05,sh.000037,1904.6300,1910.6600,1859.4000,1866.6700,1909.4800,264970000,2888000000.0000,-2.241968
2009-02-06,sh.000037,1859.5400,1915.5600,1859.5400,1915.1500,1866.6700,312580000,3303000000.0000,2.597137
2009-02-09,sh.000037,1934.4500,1973.1800,1906.4900,1972.3100,1915.1500,397690000,4282000000.0000,2.984624
2009-02-10,sh.000037,1965.3100,2022.7600,1945.9200,2022.3400,1972.3100,346770000,3778000000.0000,2.536615
2009-02-11,sh.000037,1993.2900,2072.9100,1980.6600,2025.4700,2022.3400,394810000,4172000000.0000,0.154771
2009-02-12,sh.000037,2037.0800,2076.2800,1997.0900,2074.2900,2025.4700,393700000,4171000000.0000,2.410308
2009-02-13,sh.000037,2074.7500,2124.7000,2070.9400,2123.5600,2074.2900,361530000,4121000000.0000,2.375272
2009-02-16,sh.000037,2136.0000,2142.2900,2089.7500,2130.0700,2123.5600,333180000,3695000000.0000,0.306561
2009-02-17,sh.000037,2132.3200,2144.1800,2076.5300,2085.3200,2130.0700,345920000,4010000000.0000,-2.100870
2009-02-18,sh.000037,2049.9400,2094.4500,2032.4500,2038.0300,2085.3200,278560000,3119000000.0000,-2.267759
2009-02-19,sh.000037,2056.7400,2080.8300,2034.6400,2073.7100,2038.0300,225120000,2625000000.0000,1.750707
2009-02-20,sh.000037,2083.3100,2127.7500,2064.9300,2122.4900,2073.7100,254600000,3027000000.0000,2.352307
2009-02-23,sh.000037,2119.7300,2190.4800,2105.4800,2183.9800,2122.4900,293230000,3504000000.0000,2.897069
2009-02-24,sh.000037,2164.2900,2187.5800,2104.8900,2105.5000,2183.9800,315500000,3648000000.0000,-3.593438
2009-02-25,sh.000037,2119.5200,2137.7900,2045.3400,2099.0800,2105.5000,284360000,3046000000.0000,-0.304912
2009-02-26,sh.000037,2092.6500,2117.2900,1948.9300,1970.1000,2099.0800,262530000,2781000000.0000,-6.144601
2009-02-27,sh.000037,1936.4900,1950.8600,1866.3500,1912.9500,1970.1000,247140000,2621000000.0000,-2.900869
2009-03-02,sh.000037,1898.6300,1961.9400,1893.3500,1959.5900,1912.9500,158410000,1757000000.0000,2.438120
2009-03-03,sh.000037,1923.7300,2042.5200,1909.6500,2014.7300,1959.5900,243830000,2624000000.0000,2.813855
2009-03-04,sh.000037,2022.1300,2104.8900,2022.1300,2100.0600,2014.7300,312800000,3418000000.0000,4.235311
2009-03-05,sh.000037,2112.8800,2118.6200,2042.6000,2084.5200,2100.0600,300110000,3234000000.0000,-0.739981
2009-03-06,sh.000037,2053.2100,2075.9600,2039.1000,2047.4100,2084.5200,194020000,2017000000.0000,-1.780265
2009-03-09,sh.000037,2051.8300,2069.4400,1970.9600,1974.9600,2047.4100,220690000,2245000000.0000,-3.538620
2009-03-10,sh.000037,1961.2800,2016.6400,1956.6200,2015.8600,1974.9600,147940000,1439000000.0000,2.070929
2009-03-11,sh.000037,2046.7700,2054.7500,2008.6100,2020.9300,2015.8600,198240000,2056000000.0000,0.251509
2009-03-12,sh.000037,2013.8600,2023.8200,1971.4200,2022.8300,2020.9300,167650000,1691000000.0000,0.094011
2009-03-13,sh.000037,2029.4200,2038.7500,1997.1400,2000.6600,2022.8300,146970000,1503000000.0000,-1.095985
2009-03-16,sh.000037,1996.4100,2014.2400,1979.7200,2012.0500,2000.6600,119100000,1251000000.0000,0.569313
2009-03-17,sh.000037,2017.3400,2077.7300,2009.0500,2074.3500,2012.0500,231550000,2589000000.0000,3.096347
2009-03-18,sh.000037,2093.4600,2127.9300,2089.1700,2092.9200,2074.3500,311710000,3580000000.0000,0.895212
2009-03-19,sh.000037,2099.3100,2112.7100,2076.9100,2111.7600,2092.9200,306350000,3594000000.0000,0.900182
2009-03-20,sh.000037,2115.4400,2116.9700,2055.5600,2079.4600,2111.7600,236580000,2727000000.0000,-1.529532
2009-03-23,sh.000037,2082.9400,2101.6500,2078.2600,2101.1400,2079.4600,303400000,3599000000.0000,1.042575
2009-03-24,sh.000037,2118.3000,2141.7200,2090.5400,2134.6500,2101.1400,388880000,4547000000.0000,1.594849
2009-03-25,sh.000037,2123.8600,2126.7500,2069.8100,2070.4300,2134.6500,256130000,2971000000.0000,-3.008455
2009-03-26,sh.000037,2063.3100,2089.7700,2034.2200,2089.4200,2070.4300,210740000,2532000000.0000,0.917200
2009-03-27,sh.000037,2101.3600,2106.4200,2075.9400,2088.0300,2089.4200,298900000,3772000000.0000,-0.066520
2009-03-30,sh.000037,2091.3500,2111.8100,2086.9700,2103.8500,2088.0300,249220000,2884000000.0000,0.757655
2009-03-31,sh.000037,2076.0600,2114.5600,2063.2600,2113.8200,2103.8500,247220000,2804000000.0000,0.473892
2009-04-01,sh.000037,2120.7100,2135.0500,2112.7200,2131.2900,2113.8200,286060000,3374000000.0000,0.826464
2009-04-02,sh.000037,2140.0800,2157.4900,2127.6600,2138.4000,2131.2900,401190000,5164000000.0000,0.333594
2009-04-03,sh.000037,2151.8800,2154.6400,2088.4600,2110.5000,2138.4000,333590000,4145000000.0000,-1.304709
2009-04-07,sh.000037,2150.9500,2172.2400,2110.2000,2125.3900,2110.5000,339180000,4358000000.0000,0.705515
2009-04-08,sh.000037,2127.1500,2136.5500,2066.7200,2066.9700,2125.3900,288990000,3672000000.0000,-2.748668
2009-04-09,sh.000037,2063.3900,2082.2800,2040.7900,2080.9900,2066.9700,240510000,2835000000.0000,0.678288
2009-04-10,sh.000037,2088.4800,2127.0300,2074.6400,2126.6900,2080.9900,305970000,3651000000.0000,2.196068
2009-04-13,sh.000037,2140.4900,2145.3000,2120.4900,2136.9600,2126.6900,356610000,4393000000.0000,0.482911
2009-04-14,sh.000037,2134.4800,2155.4300,2121.9400,2148.6100,2136.9600,348280000,4331000000.0000,0.545174
2009-04-15,sh.000037,2142.1500,2183.8000,2131.6000,2183.4300,2148.6100,378060000,4898000000.0000,1.620574
2009-04-16,sh.000037,2188.0000,2222.0900,2168.7700,2215.4500,2183.4300,424010000,5367000000.0000,1.466501
2009-04-17,sh.000037,2218.7200,2240.3300,2196.1600,2203.8200,2215.4500,404370000,5024000000.0000,-0.524945
2009-04-20,sh.000037,2203.1300,2235.1500,2194.1000,2234.8300,2203.8200,352810000,4170000000.0000,1.407103
2009-04-21,sh.000037,2217.0500,2236.5400,2191.8100,2223.1700,2234.8300,424240000,4890000000.0000,-0.521747
2009-04-22,sh.000037,2231.9200,2246.9900,2136.5500,2145.8600,2223.1700,423610000,4833000000.0000,-3.477459
2009-04-23,sh.000037,2130.9500,2160.5900,2120.9600,2149.8600,2145.8600,289530000,3135000000.0000,0.186405
2009-04-24,sh.000037,2158.2000,2168.2100,2131.0100,2133.8600,2149.8600,275320000,3045000000.0000,-0.744235
2009-04-27,sh.000037,2170.2100,2197.9900,2129.5100,2139.2700,2133.8600,424520000,4766000000.0000,0.253527
2009-04-28,sh.000037,2146.3400,2281.2900,2146.1600,2280.1200,2139.2700,729180000,8243000000.0000,6.584026
2009-04-29,sh.000037,2289.8300,2289.8300,2200.7000,2243.9600,2280.1200,605690000,6529000000.0000,-1.585888
2009-04-30,sh.000037,2242.5100,2286.8000,2217.8000,2248.9300,2243.9600,530360000,5976000000.0000,0.221482
2009-05-04,sh.000037,2258.9100,2284.3500,2245.0200,2283.7900,2248.9300,513050000,5821000000.0000,1.550075
2009-05-05,sh.000037,2285.4200,2285.4200,2236.9800,2266.3900,2283.7900,442050000,5163000000.0000,-0.761898
2009-05-06,sh.000037,2263.8600,2271.7900,2245.6800,2270.3600,2266.3900,399640000,4827000000.0000,0.175178
2009-05-07,sh.000037,2275.2900,2276.9800,2196.6000,2225.1400,2270.3600,497470000,5526000000.0000,-1.991764
2009-05-08,sh.000037,2246.1300,2278.2500,2214.1100,2225.5300,2225.1400,518620000,5977000000.0000,0.017533
2009-05-11,sh.000037,2238.9800,2269.2600,2188.7300,2214.2600,2225.5300,517320000,5923000000.0000,-0.506397
2009-05-12,sh.000037,2200.8200,2216.0300,2178.6700,2214.9000,2214.2600,286230000,3084000000.0000,0.028899
2009-05-13,sh.000037,2216.3700,2226.2300,2201.2300,2211.2700,2214.9000,293970000,3311000000.0000,-0.163885
2009-05-14,sh.000037,2213.2300,2239.0700,2208.9900,2230.7600,2211.2700,352720000,4147000000.0000,0.881394
2009-05-15,sh.000037,2235.7900,2272.8100,2228.5200,2268.3000,2230.7600,442190000,5471000000.0000,1.682836
2009-05-18,sh.000037,2271.8900,2271.8900,2215.1700,2242.0700,2268.3000,352840000,3936000000.0000,-1.156372
2009-05-19,sh.000037,2250.0300,2252.9700,2226.8400,2237.6700,2242.0700,380770000,4365000000.0000,-0.196254
2009-05-20,sh.000037,2232.9900,2234.2600,2195.5300,2196.0900,2237.6700,357030000,4037000000.0000,-1.858176
2009-05-21,sh.000037,2188.6200,2201.8600,2148.0200,2165.6000,2196.0900,359830000,4191000000.0000,-1.388376
2009-05-22,sh.000037,2155.9930,2186.8400,2153.8350,2168.1780,2165.6000,275532200,3355260000.0000,0.119038
2009-05-25,sh.000037,2131.2300,2172.2720,2122.5580,2168.3300,2168.1780,313820100,3906920000.0000,0.007015
2009-05-26,sh.000037,2172.5070,2195.1820,2170.9970,2180.3820,2168.3300,239898300,2986970000.0000,0.555820
2009-05-27,sh.000037,2181.6090,2186.4330,2150.1160,2160.1480,2180.3820,196977500,2363830000.0000,-0.928008
2009-06-01,sh.000037,2172.7720,2195.4710,2172.7720,2194.8740,2160.1480,251649800,3047660000.0000,1.607578
