date,code,open,high,low,close,preclose,volume,amount,pctChg
2014-12-31,sz.399433,2093.7400,2124.3620,2074.5310,2118.6600,0.0000,1928319104,13662636544.0000,0.000000
2015-01-05,sz.399433,2143.8030,2203.8220,2143.8030,2196.3950,2118.6600,3826746464,26194435072.0000,3.669070
2015-01-06,sz.399433,2207.6430,2301.3890,2192.0080,2267.4830,2196.3950,4786365952,34773977600.0000,3.236571
2015-01-07,sz.399433,2261.8420,2262.8020,2230.1200,2258.4390,2267.4830,3329142416,25303595008.0000,-0.398854
2015-01-08,sz.399433,2252.5900,2258.2960,2193.8730,2217.8000,2258.4390,3346478784,25013047040.0000,-1.799425
2015-01-09,sz.399433,2200.0940,2252.9630,2185.4460,2186.4650,2217.8000,3249044080,23408917760.0000,-1.412885
2015-01-12,sz.399433,2172.8060,2172.8060,2106.8910,2138.5370,2186.4650,2540327520,17931372800.0000,-2.192030
2015-01-13,sz.399433,2151.4490,2171.6290,2136.3360,2147.2660,2138.5370,1990984512,14583819776.0000,0.408176
2015-01-14,sz.399433,2142.1950,2142.1950,2086.0820,2105.1400,2147.2660,1832789120,13000363008.0000,-1.961854
2015-01-15,sz.399433,2095.3940,2156.9950,2084.3760,2156.9950,2105.1400,2038880176,14803629056.0000,2.463267
2015-01-16,sz.399433,2161.7630,2171.1750,2143.8730,2167.0100,2156.9950,2076858768,16624383744.0000,0.464298
2015-01-19,sz.399433,2066.1230,2106.0840,1981.1840,2001.6650,2167.0100,2967668384,21062483200.0000,-7.630097
2015-01-20,sz.399433,2014.0780,2071.1390,2010.3180,2071.1220,2001.6650,2437525216,18891726592.0000,3.469963
2015-01-21,sz.399433,2086.9880,2151.5510,2080.7270,2151.5510,2071.1220,2720845728,22089082624.0000,3.883352
2015-01-22,sz.399433,2153.4900,2162.7910,2131.2270,2157.5490,2151.5510,2329219264,18926205440.0000,0.278778
2015-01-23,sz.399433,2162.1470,2186.9100,2145.1520,2160.5030,2157.5490,2580031168,20966924288.0000,0.136908
2015-01-26,sz.399433,2162.9460,2208.9850,2150.3150,2208.4920,2160.5030,2350419312,19669805568.0000,2.221196
2015-01-27,sz.399433,2203.6020,2203.6020,2139.9390,2186.2560,2208.4920,2767257200,21391574272.0000,-1.006834
2015-01-28,sz.399433,2169.1330,2190.5740,2158.5640,2176.0520,2186.2560,2660122240,19706392576.0000,-0.466739
2015-01-29,sz.399433,2146.9550,2192.6550,2142.3680,2175.7350,2176.0520,2193961584,16819491328.0000,-0.014563
2015-01-30,sz.399433,2180.0940,2187.0080,2116.8270,2118.1600,2175.7350,1743476848,13188008960.0000,-2.646241
2015-02-02,sz.399433,2089.7290,2099.1890,2063.3080,2070.3880,2118.1600,1589237184,11488210176.0000,-2.255352
2015-02-03,sz.399433,2084.4570,2107.0330,2070.0450,2106.7430,2070.3880,1534419120,11505392384.0000,1.755950
2015-02-04,sz.399433,2112.7850,2121.4420,2093.1570,2096.1850,2106.7430,1692720592,13567081216.0000,-0.501146
2015-02-05,sz.399433,2126.7010,2127.1900,2079.9250,2080.2160,2096.1850,1970252688,16035359744.0000,-0.761812
2015-02-06,sz.399433,2069.6360,2070.9970,1985.8840,2000.9740,2080.2160,1866532144,13571552768.0000,-3.809319
2015-02-09,sz.399433,1990.5370,2002.0930,1973.0490,1987.2980,2000.9740,1213788384,9051440640.0000,-0.683469
2015-02-10,sz.399433,1988.7050,2044.1930,1987.5690,2044.0470,1987.2980,1204484464,9204207360.0000,2.855587
2015-02-11,sz.399433,2052.7140,2069.4960,2048.0730,2064.5210,2044.0470,1099653344,9512776960.0000,1.001640
2015-02-12,sz.399433,2065.3070,2084.1240,2051.7500,2076.2030,2064.5210,1150897744,9109145344.0000,0.565840
2015-02-13,sz.399433,2080.9270,2106.7000,2080.9270,2088.3830,2076.2030,1360420384,10767353344.0000,0.586656
2015-02-16,sz.399433,2089.3060,2114.9320,2088.6070,2114.5700,2088.3830,1217683520,10240653824.0000,1.253937
2015-02-17,sz.399433,2118.8920,2177.1330,2118.8920,2175.7980,2114.5700,2094556752,16792096768.0000,2.895531
2015-02-25,sz.399433,2185.2890,2187.6150,2145.9580,2155.3770,2175.7980,1818929648,15428402176.0000,-0.938559
2015-02-26,sz.399433,2156.8850,2198.2290,2150.8770,2197.8620,2155.3770,2128717344,16978226688.0000,1.971122
2015-02-27,sz.399433,2201.7230,2223.8620,2193.9090,2219.1860,2197.8620,2174990256,17041136128.0000,0.970214
2015-03-02,sz.399433,2232.3170,2232.8330,2206.6010,2228.0730,2219.1860,1954013616,16798185984.0000,0.400460
2015-03-03,sz.399433,2218.4490,2235.7630,2196.7370,2199.4080,2228.0730,3050424528,23639747072.0000,-1.286540
2015-03-04,sz.399433,2192.3340,2208.1080,2186.3680,2204.2430,2199.4080,1763756368,14390517760.0000,0.219830
2015-03-05,sz.399433,2198.0640,2198.0640,2162.8750,2177.8970,2204.2430,1874879168,15580125440.0000,-1.195238
2015-03-06,sz.399433,2176.0310,2195.6560,2164.0470,2172.5070,2177.8970,1758781072,14946633472.0000,-0.247481
2015-03-09,sz.399433,2162.1550,2193.3420,2142.5710,2192.7680,2172.5070,1578563152,12549066496.0000,0.932608
2015-03-10,sz.399433,2191.0130,2234.4840,2186.6020,2228.0060,2192.7680,2190310544,17454885120.0000,1.607012
2015-03-11,sz.399433,2228.2330,2268.8480,2227.5670,2240.8660,2228.0060,2798866992,20731941888.0000,0.577191
2015-03-12,sz.399433,2245.8530,2258.8840,2234.2630,2258.2740,2240.8660,2263825600,17582663424.0000,0.776841
2015-03-13,sz.399433,2265.4090,2324.7510,2265.1510,2321.6990,2258.2740,3149364432,24880651776.0000,2.808563
2015-03-16,sz.399433,2353.0120,2408.3440,2343.2120,2408.3440,2321.6990,3918757664,32476393728.0000,3.731966
2015-03-17,sz.399433,2428.2300,2530.9960,2407.5920,2523.8030,2408.3440,5660692224,48623262464.0000,4.794123
2015-03-18,sz.399433,2563.6510,2586.7300,2534.9890,2585.9330,2523.8030,7199523328,56066064640.0000,2.461766
2015-03-19,sz.399433,2567.0780,2583.3450,2538.6620,2567.4370,2585.9330,5979379712,45707503360.0000,-0.715258
2015-03-20,sz.399433,2570.9740,2576.2140,2538.6650,2557.1260,2567.4370,4646756352,37158553344.0000,-0.401608
2015-03-23,sz.399433,2562.4160,2605.1950,2559.7900,2604.9900,2557.1260,4990079488,41213863680.0000,1.871789
2015-03-24,sz.399433,2600.5260,2681.3450,2546.9890,2676.5110,2604.9900,7190267648,58113445120.0000,2.745538
2015-03-25,sz.399433,2676.6390,2693.4550,2634.5710,2647.3410,2676.5110,5188379136,45615895552.0000,-1.089849
2015-03-26,sz.399433,2630.8130,2642.2060,2585.9660,2610.3580,2647.3410,4106380592,36532096512.0000,-1.396992
2015-03-27,sz.399433,2607.2870,2614.4130,2575.2670,2607.9860,2610.3580,2915929440,26136151808.0000,-0.090862
2015-03-30,sz.399433,2639.2700,2688.7110,2639.2700,2684.0380,2607.9860,4046177104,36909531648.0000,2.916120
2015-03-31,sz.399433,2694.3570,2699.8790,2635.5920,2642.6880,2684.0380,3687272000,35948037888.0000,-1.540593
2015-04-01,sz.399433,2636.4860,2692.5470,2636.1830,2683.5700,2642.6880,2887072464,28966228736.0000,1.546988
2015-04-02,sz.399433,2688.5830,2696.2940,2661.8750,2690.5320,2683.5700,2914518656,29296557568.0000,0.259427
2015-04-03,sz.399433,2680.1460,2730.1510,2673.5850,2729.8620,2690.5320,3353090960,32922515456.0000,1.461796
2015-04-07,sz.399433,2734.6840,2824.9090,2732.3860,2824.9090,2729.8620,4694800896,44171635456.0000,3.481746
2015-04-08,sz.399433,2832.1250,2832.9050,2747.9840,2789.5180,2824.9090,4423015936,44301382912.0000,-1.252815
2015-04-09,sz.399433,2793.7400,2803.1730,2696.2560,2763.8200,2789.5180,4071976128,39783094272.0000,-0.921234
2015-04-10,sz.399433,2759.0350,2839.6290,2744.2550,2828.4430,2763.8200,3805929888,36308027392.0000,2.338178
2015-04-13,sz.399433,2841.2200,2906.6360,2832.5330,2899.2510,2828.4430,4584875520,43277591040.0000,2.503422
2015-04-14,sz.399433,2893.6370,2975.2780,2888.7330,2950.0770,2899.2510,4826909184,47548027392.0000,1.753071
2015-04-15,sz.399433,2966.6620,3022.4890,2913.7860,2951.8170,2950.0770,5048756224,48635889920.0000,0.058981
2015-04-16,sz.399433,2910.6100,3017.4640,2857.6050,2986.1090,2951.8170,5622752000,48075445760.0000,1.161725
2015-04-17,sz.399433,3029.6280,3160.8890,3027.9310,3135.0020,2986.1090,7301822464,69633769472.0000,4.986190
2015-04-20,sz.399433,3143.4360,3292.2550,3101.2070,3195.4400,3135.0020,8743304704,88193253376.0000,1.927845
2015-04-21,sz.399433,3202.1560,3263.9650,3145.9080,3213.5140,3195.4400,6433390592,67307126272.0000,0.565618
2015-04-22,sz.399433,3219.9410,3295.8150,3211.0290,3281.4740,3213.5140,5993682176,63412154368.0000,2.114825
2015-04-23,sz.399433,3281.7780,3287.9330,3229.2450,3262.2370,3281.4740,5207712256,55942709504.0000,-0.586232
2015-04-24,sz.399433,3215.6860,3320.3370,3205.6550,3305.6970,3262.2370,5976418048,63304525056.0000,1.332213
2015-04-27,sz.399433,3354.0340,3454.6500,3354.0340,3451.8240,3305.6970,6864623360,75095879680.0000,4.420458
2015-04-28,sz.399433,3467.0740,3507.9140,3403.3460,3441.3210,3451.8240,6978916096,78818942976.0000,-0.304272
2015-04-29,sz.399433,3437.6310,3473.3350,3341.6530,3434.8070,3441.3210,5362985984,61874721280.0000,-0.189292
2015-04-30,sz.399433,3430.6900,3489.0960,3404.3390,3431.4590,3434.8070,4799824896,54610285568.0000,-0.097470
2015-05-04,sz.399433,3429.6180,3443.7310,3364.4140,3418.3020,3431.4590,3992545088,46420170240.0000,-0.383422
2015-05-05,sz.399433,3405.9100,3405.9100,3207.9890,3222.3090,3418.3020,4587488768,49849003520.0000,-5.733634
2015-05-06,sz.399433,3220.6730,3255.1310,3040.7150,3087.5010,3222.3090,4056791552,41736912896.0000,-4.183587
2015-05-07,sz.399433,3056.2090,3063.4910,2949.4590,2950.2840,3087.5010,3584209136,34455593728.0000,-4.444275
2015-05-08,sz.399433,2987.9680,3074.1680,2977.3050,3073.7510,2950.2840,3879253328,37856555520.0000,4.184921
