date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2000-01-04,sh.600840,7.9000,8.2500,7.6000,8.2200,7.8000,307277,2457742.0000,0.477355,1,5.384616,-41.168406,8.048472,0.000000,-24.046766,0
2000-01-05,sh.600840,8.0800,8.8800,7.9200,8.6900,8.2200,780279,6689191.0000,1.212164,1,5.717753,-43.522317,8.508664,0.000000,-25.421703,0
2000-01-06,sh.600840,8.6000,9.1400,8.4600,8.9800,8.6900,693748,6109979.0000,1.077738,1,3.337169,-44.974731,8.792612,0.000000,-26.270068,0
2000-01-07,sh.600840,9.0000,9.3900,9.0000,9.2700,8.9800,1018145,9397224.0000,1.581689,1,3.229409,-46.427144,9.076561,0.000000,-27.118433,0
2000-01-10,sh.600840,9.2600,9.2700,8.9200,9.1000,9.2700,1055064,9558689.0000,1.639043,1,-1.833873,-45.575729,8.910108,0.000000,-26.621116,0
2000-01-11,sh.600840,9.0500,9.1000,8.6900,8.8800,9.1000,1194102,10498266.0000,1.855038,1,-2.417585,-44.473898,8.694699,0.000000,-25.977528,0
2000-01-12,sh.600840,8.8000,9.3000,8.7400,9.1000,8.8800,1204128,10851857.0000,1.870614,1,2.477480,-45.575729,8.910108,0.000000,-26.621116,0
2000-01-13,sh.600840,9.2000,9.2800,8.8200,9.0000,9.1000,574861,5161142.0000,0.893047,1,-1.098905,-45.074897,8.812195,0.000000,-26.328576,0
2000-01-14,sh.600840,8.9900,9.8000,8.9000,9.3800,9.0000,3274631,30834958.0000,5.087141,1,4.222224,-46.978059,9.184266,0.000000,-27.440227,0
2000-01-17,sh.600840,9.4100,9.8000,9.2000,9.7400,9.3800,2148673,20671420.0000,3.337965,1,3.837950,-48.781055,9.536753,0.000000,-28.493370,0
2000-01-18,sh.600840,9.7000,9.7600,9.2600,9.3000,9.7400,858338,8106370.0000,1.333429,1,-4.517449,-46.577394,9.105935,0.000000,-27.206195,0
2000-01-19,sh.600840,9.2600,9.4500,9.0000,9.0800,9.3000,831818,7600273.0000,1.292230,1,-2.365594,-45.475563,8.890526,0.000000,-26.562608,0
2000-01-20,sh.600840,9.0500,9.2500,9.0000,9.2500,9.0800,496232,4547867.0000,0.770897,1,1.872248,-46.326977,9.056978,0.000000,-27.059925,0
