date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
2012-07-31,sh.603077,16.0000,16.7700,15.6500,16.4200,17.5000,19818983,322702149.0000,19.818983,1,-6.171428,14.532801,4.488298,3.615258,318.373862
2012-08-01,sh.603077,16.0200,16.2300,15.6600,15.9500,16.4200,11462129,182527512.0000,11.462129,1,-2.862400,14.116820,4.359827,3.511776,309.260846
2012-08-02,sh.603077,15.9500,17.1900,15.9500,16.7200,15.9500,16047747,268337183.0000,16.047747,1,4.827600,14.798321,4.570302,3.681310,324.190680
2012-08-03,sh.603077,16.5100,17.3600,16.4600,17.0300,16.7200,14167427,239725635.0000,14.167427,1,1.854100,15.072692,4.655038,3.749564,330.201393
2012-08-06,sh.603077,16.8000,17.0800,16.5300,16.9800,17.0300,11503382,193032549.0000,11.503382,1,-0.293600,15.028439,4.641371,3.738555,329.231923
2012-08-07,sh.603077,16.9900,17.1800,16.5500,16.8300,16.9800,8951969,150418520.0000,8.951969,1,-0.883400,14.895679,4.600369,3.705529,326.323514
2012-08-08,sh.603077,16.7400,17.0000,16.1000,16.3100,16.8300,8724613,143781618.0000,8.724613,1,-3.089700,14.435444,4.458231,3.591039,316.241029
2012-08-09,sh.603077,16.3000,17.8800,16.2900,17.4000,16.3100,25977767,450059895.0000,25.977767,1,6.683000,15.400167,4.756175,3.831028,337.375469
2012-08-10,sh.603077,17.2100,17.7000,17.0100,17.2300,17.4000,13571353,234990200.0000,13.571353,1,-0.977000,15.249706,4.709707,3.793599,334.079272
2012-08-13,sh.603077,17.3200,17.6200,17.0300,17.3400,17.2300,11701603,203095609.0000,11.701603,1,0.638400,15.347063,4.739774,3.817818,336.212105
2012-08-14,sh.603077,17.2900,17.7100,17.1100,17.5800,17.3400,16596740,290299200.0000,16.596740,1,1.384100,15.559479,4.805377,3.870660,340.865560
2012-08-15,sh.603077,17.5400,17.6600,16.4100,16.5200,17.5800,15459966,261517090.0000,15.459966,1,-6.029600,14.621308,4.515633,3.637275,320.312802
2012-08-16,sh.603077,16.3800,16.5000,15.9800,16.2500,16.5200,7724992,125541972.0000,7.724992,1,-1.634400,14.382340,4.441830,3.577828,315.077665
2012-08-17,sh.603077,16.4800,16.7500,16.3000,16.5100,16.2500,7042866,116289973.0000,7.042866,1,1.600000,14.612457,4.512899,3.635074,320.118908
2012-08-20,sh.603077,16.2900,16.8400,16.1600,16.7400,16.5100,6330142,105049032.0000,6.330142,1,1.393100,14.816023,4.575768,3.685714,324.578468
2012-08-21,sh.603077,16.6200,16.8900,16.5900,16.7200,16.7400,6921802,115656841.0000,6.921802,1,-0.119500,14.798321,4.570302,3.681310,324.190680
2012-08-22,sh.603077,16.6700,16.8000,16.3200,16.5100,16.7200,5594530,92354767.0000,5.594530,1,-1.256000,14.612457,4.512899,3.635074,320.118908
2012-08-23,sh.603077,16.4500,17.2800,16.4100,17.0700,16.5100,10710416,181222164.0000,10.710416,1,3.391900,15.108095,4.665972,3.758371,330.976969
2012-08-24,sh.603077,16.9900,17.2400,16.5200,16.5500,17.0700,8448426,142786119.0000,8.448426,1,-3.046300,14.647860,4.523833,3.643880,320.894483
2012-08-27,sh.603077,16.2000,16.3800,16.0500,16.0800,16.5500,5025620,81253177.0000,5.025620,1,-2.839900,14.231879,4.395362,3.540399,311.781468
2012-08-28,sh.603077,15.9600,16.3000,15.8500,16.0900,16.0800,5190842,83497898.0000,5.190842,1,0.062200,14.240729,4.398095,3.542600,311.975362
2012-08-29,sh.603077,15.9700,16.2600,15.8300,15.9500,16.0900,4757450,76270017.0000,4.757450,1,-0.870100,14.116820,4.359827,3.511776,309.260846
2012-08-30,sh.603077,15.8000,16.1800,15.2500,15.6100,15.9500,6266734,98321902.0000,6.266734,1,-2.131662,13.815897,4.266890,3.436917,302.668452
2012-08-31,sh.603077,15.4800,15.6300,15.2100,15.3300,15.6100,4521985,69479555.0000,4.521985,1,-1.793700,13.568078,4.190354,3.375268,297.239422
2012-09-03,sh.603077,15.3000,15.6100,15.2600,15.5500,15.3300,3632165,56242209.0000,3.632165,1,1.435100,13.762793,4.250490,3.423706,301.505089
2012-09-04,sh.603077,15.5500,15.6400,15.2400,15.5700,15.5500,4475518,69064241.0000,4.475518,1,0.128600,13.780494,4.255957,3.428110,301.892876
2012-09-05,sh.603077,15.4800,15.9600,15.4200,15.7600,15.5700,4742796,74631667.0000,4.742796,1,1.220300,13.948657,4.307892,3.469943,305.576861
2012-09-06,sh.603077,15.6300,15.9500,15.6300,15.8400,15.7600,3224410,51062527.0000,3.224410,1,0.507600,14.019462,4.329759,3.487557,307.128013
2012-09-07,sh.603077,16.0300,16.4700,15.9000,16.2100,15.8400,8038688,130134681.0000,8.038688,1,2.335900,14.346937,4.430896,3.569021,314.302089
2012-09-10,sh.603077,16.2100,16.6600,16.1600,16.3100,16.2100,6094553,100025171.0000,6.094553,1,0.616900,14.435444,4.458231,3.591039,316.241029
2012-09-11,sh.603077,16.2000,16.5300,16.0600,16.4200,16.3100,5326768,86957616.0000,5.326768,1,0.674400,14.532801,4.488298,3.615258,318.373862
2012-09-12,sh.603077,16.5300,16.8000,16.2600,16.6000,16.4200,6727740,111304541.0000,6.727740,1,1.096200,14.692113,4.537500,3.654889,321.863953
2012-09-13,sh.603077,16.5000,16.5100,15.9800,16.0100,16.6000,5042856,82051375.0000,5.042856,1,-3.554200,14.169924,4.376228,3.524986,310.424210
2012-09-14,sh.603077,16.2000,16.4200,15.9700,16.2600,16.0100,4756538,77113790.0000,4.756538,1,1.561500,14.391191,4.444564,3.580030,315.271559
2012-09-17,sh.603077,16.2000,16.3000,15.5800,15.6500,16.2600,5012047,79298325.0000,5.012047,1,-3.751500,13.851300,4.277824,3.445724,303.444028
2012-09-18,sh.603077,15.5500,15.8300,15.5100,15.6100,15.6500,2445703,38352111.0000,2.445703,1,-0.255600,13.815897,4.266890,3.436917,302.668452
2012-09-19,sh.603077,15.6600,15.8200,15.5500,15.7200,15.6100,2221961,34812200.0000,2.221961,1,0.704700,13.913254,4.296958,3.461136,304.801286
2012-09-20,sh.603077,15.6900,15.6900,15.3000,15.3100,15.7200,3648187,56323133.0000,3.648187,1,-2.608100,13.550377,4.184887,3.370865,296.851634
2012-09-21,sh.603077,15.3300,15.6500,15.2500,15.4800,15.3100,3049799,47260096.0000,3.049799,1,1.110400,13.700838,4.231356,3.408294,300.147831
2012-09-24,sh.603077,15.2700,15.7000,15.2300,15.6700,15.4800,2822366,43833269.0000,2.822366,1,1.227400,13.869001,4.283291,3.450127,303.831816
2012-09-25,sh.603077,15.6100,15.9200,15.5100,15.5700,15.6700,2754381,43364283.0000,2.754381,1,-0.638200,13.780494,4.255957,3.428110,301.892876
2012-09-26,sh.603077,15.5200,15.5600,14.4300,14.5300,15.5700,5921935,88191930.0000,5.921935,1,-6.679500,12.860025,3.971679,3.199129,281.727906
2012-09-27,sh.603077,14.4500,14.8500,14.2300,14.7500,14.5300,5992882,87214354.0000,5.992882,1,1.514100,13.054739,4.031815,3.247567,285.993573
2012-09-28,sh.603077,14.5000,15.0500,14.4300,14.9500,14.7500,5085866,75259182.0000,5.085866,1,1.355900,13.231753,4.086484,3.291602,289.871452
2012-10-08,sh.603077,14.9700,15.0400,14.5900,14.7000,14.9500,3604641,53089247.0000,3.604641,1,-1.672200,13.010486,4.018148,3.236558,285.024103
2012-10-09,sh.603077,14.7600,15.1600,14.7400,15.0700,14.7000,5238991,78482839.0000,5.238991,1,2.517000,13.337961,4.119285,3.318023,292.198179
2012-10-10,sh.603077,14.9600,15.1600,14.8400,15.1400,15.0700,3798215,57017552.0000,3.798215,1,0.464500,13.399916,4.138419,3.333435,293.555437
2012-10-11,sh.603077,15.0000,15.0900,14.7900,14.8000,15.1400,3321902,49519808.0000,3.321902,1,-2.245700,13.098993,4.045482,3.258576,286.963043
2012-10-12,sh.603077,14.8000,15.5800,14.8000,15.2900,14.8000,7162029,109601607.0000,7.162029,1,3.310800,13.532676,4.179420,3.366461,296.463846
2012-10-15,sh.603077,15.1100,15.3700,14.9200,15.1700,15.2900,3707843,55940291.0000,3.707843,1,-0.784800,13.426468,4.146619,3.340040,294.137119
2012-10-16,sh.603077,15.1500,15.1800,14.8700,14.9200,15.1700,2999314,44962679.0000,2.999314,1,-1.648000,13.205201,4.078283,3.284997,289.289770
2012-10-17,sh.603077,14.9900,15.0700,14.8200,14.9100,14.9200,3177224,47476049.0000,3.177224,1,-0.067000,13.196350,4.075550,3.282795,289.095876
2012-10-18,sh.603077,14.9000,15.2200,14.9000,15.1700,14.9100,4402195,66442797.0000,4.402195,1,1.743800,13.426468,4.146619,3.340040,294.137119
2012-10-19,sh.603077,15.7500,16.4500,15.5500,15.6400,15.1700,13608604,216116714.0000,13.608604,1,3.098222,13.842449,4.275091,3.443522,303.250134
2012-10-22,sh.603077,15.3900,15.9500,15.3100,15.8500,15.6400,6702915,105195360.0000,6.702915,1,1.342700,14.028313,4.332493,3.489759,307.321907
2012-10-23,sh.603077,15.7500,15.8500,15.5200,15.5600,15.8500,4217706,65987894.0000,4.217706,1,-1.829700,13.771644,4.253223,3.425908,301.698983
2012-10-24,sh.603077,15.4000,15.4900,14.9600,14.9800,15.5600,4973132,75893062.0000,4.973132,1,-3.727500,13.258305,4.094684,3.298207,290.453134
2012-10-25,sh.603077,14.9600,15.0400,14.6000,14.6600,14.9800,4617922,68366792.0000,4.617922,1,-2.136200,12.975083,4.007214,3.227752,284.248527
2012-10-26,sh.603077,14.6600,14.8500,14.6100,14.7900,14.6600,3047217,44795614.0000,3.047217,1,0.886800,13.090142,4.042749,3.256374,286.769149
2012-10-29,sh.603077,14.8000,14.8500,14.4200,14.5400,14.7900,2256926,32790192.0000,2.256926,1,-1.690300,12.868875,3.974413,3.201331,281.921800
2012-10-30,sh.603077,14.5100,14.8600,14.5100,14.8400,14.5400,3050887,45035996.0000,3.050887,1,2.063300,13.134395,4.056416,3.267383,287.738618
2012-10-31,sh.603077,14.1500,14.1500,13.6300,13.9600,14.8400,7553541,105222269.0000,7.553541,1,-5.929900,15.497872,1.852338,3.409167,4.367816
2012-11-01,sh.603077,13.9000,14.4000,13.8200,14.1500,13.9600,4977489,70431243.0000,4.977489,1,1.361000,15.708803,1.877549,3.455567,4.427263
2012-11-02,sh.603077,14.1200,14.2300,13.9400,14.1100,14.1500,3302148,46544777.0000,3.302148,1,-0.282700,15.664396,1.872241,3.445799,4.414748
