date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2010-09-10,sz.002473,48.0000,53.0000,45.5100,45.6100,16.0000,13583409,659971674.2300,84.896306,1,185.062500,134.070497,27.751072,23.485863,-191.539402,0
2010-09-13,sz.002473,41.0500,41.8000,41.0500,41.0500,45.6100,1347999,55450546.2600,8.424994,1,-9.997800,120.666387,24.976573,21.137792,-172.389661,0
2010-09-14,sz.002473,36.9500,39.9000,36.9500,37.9700,41.0500,8804792,332378105.0200,55.029950,1,-7.503000,111.612734,23.102569,19.551814,-159.455187,0
2010-09-15,sz.002473,36.5000,36.7800,34.1700,34.1700,37.9700,5993896,211288436.9000,37.461850,1,-10.007900,100.442642,20.790487,17.595088,-143.497070,0
2010-09-16,sz.002473,34.2000,34.7700,33.0300,34.1600,34.1700,2946034,100201057.6000,18.412713,1,-0.029300,100.413247,20.784403,17.589938,-143.455075,0
2010-09-17,sz.002473,34.1700,34.1800,32.0000,32.3500,34.1600,2800643,91574197.9300,17.504019,1,-5.298600,95.092756,19.683121,16.657919,-135.853972,0
2010-09-20,sz.002473,32.1000,32.3400,30.6300,30.9300,32.3500,2524731,78719656.3900,15.779569,1,-4.389500,90.918669,18.819133,15.926721,-129.890675,0
2010-09-21,sz.002473,30.9100,30.9200,28.8100,29.9300,30.9300,3023588,89747131.5200,18.897425,1,-3.233100,87.979171,18.210690,15.411793,-125.691171,0
2010-09-27,sz.002473,29.3200,30.3600,29.3200,30.0900,29.9300,1553050,46679614.8200,9.706563,1,0.534600,88.449490,18.308041,15.494182,-126.363091,0
2010-09-28,sz.002473,30.0800,30.0800,28.6800,28.7400,30.0900,1845030,53718690.0100,11.531437,1,-4.486500,84.481168,17.486643,14.799029,-120.693760,0
2010-09-29,sz.002473,28.7300,29.4800,27.9100,29.2000,28.7400,1948334,55749004.1200,12.177088,1,1.600600,85.833337,17.766527,15.035896,-122.625532,0
2010-09-30,sz.002473,28.7800,29.6800,28.5600,29.2300,29.2000,1461573,42681359.8500,9.134831,1,0.102700,85.921522,17.784780,15.051344,-122.751518,0
2010-10-08,sz.002473,29.3600,30.6200,29.3500,30.4800,29.2300,1851651,55812828.6700,11.572819,1,4.276400,89.595895,18.545333,15.695003,-128.000898,0
2010-10-11,sz.002473,30.3900,31.5900,29.5800,31.4600,30.4800,3053856,92954811.0500,19.086600,1,3.215200,92.476602,19.141607,16.199633,-132.116413,0
2010-10-12,sz.002473,31.4800,31.4800,30.8000,31.0900,31.4600,1715994,53466276.1400,10.724963,1,-1.176100,91.388988,18.916484,16.009110,-130.562596,0
2010-10-13,sz.002473,30.9100,31.3000,30.1500,30.3600,31.0900,1358024,41489648.1200,8.487650,1,-2.348000,89.243155,18.472320,15.633212,-127.496958,0
2010-10-14,sz.002473,30.5800,30.5800,29.3500,29.4300,30.3600,1327594,39747716.1500,8.297462,1,-3.063200,86.509422,17.906469,15.154329,-123.591418,0
