date,shiborON,shibor1W,shibor2W,shibor1M,shibor3M,shibor6M,shibor9M,shibor1Y
2006-10-08,2.118400,2.293000,2.384800,2.531900,2.611000,2.740400,2.852100,2.954300
2006-10-09,2.099000,2.296000,2.397200,2.552200,2.624800,2.743100,2.851400,2.954900
2006-10-10,2.092200,2.297100,2.423600,2.573900,2.632500,2.745400,2.854400,2.953100
2006-10-11,2.095500,2.293200,2.493000,2.586400,2.633800,2.747500,2.854700,2.955900
2006-10-12,2.094300,2.290400,2.524000,2.590000,2.638000,2.747000,2.857000,2.955000
2006-10-13,2.088900,2.291900,2.557100,2.604500,2.642000,2.746500,2.857200,2.954300
2006-10-16,2.080100,2.314400,2.555300,2.610500,2.645900,2.748200,2.856600,2.954600
2006-10-17,2.074600,2.379000,2.549100,2.613200,2.648400,2.748600,2.857000,2.955000
2006-10-18,2.072300,2.462800,2.554900,2.615900,2.648300,2.748800,2.856700,2.956000
2006-10-19,2.066700,2.492200,2.558000,2.616300,2.648300,2.748500,2.856500,2.955600
2006-10-20,2.066500,2.490100,2.557400,2.616700,2.648200,2.748500,2.856300,2.955300
2006-10-23,2.057300,2.477500,2.552800,2.616600,2.648000,2.748300,2.856100,2.955200
2006-10-24,2.056900,2.478200,2.549200,2.616500,2.648100,2.748300,2.856100,2.955200
2006-10-25,2.059200,2.432200,2.548400,2.616300,2.648000,2.748300,2.856100,2.955200
2006-10-26,2.117000,2.388700,2.546000,2.616400,2.647900,2.748300,2.856100,2.955200
2006-10-27,2.156800,2.369600,2.543900,2.616800,2.647900,2.748300,2.856100,2.955600
2006-10-30,2.160000,2.393100,2.546000,2.616700,2.647900,2.748300,2.856100,2.955400
2006-10-31,2.188500,2.451400,2.553700,2.616700,2.647900,2.748300,2.856200,2.955400
2006-11-01,2.202300,2.480300,2.560800,2.616900,2.647900,2.749000,2.856200,2.955400
2006-11-02,2.205700,2.488000,2.566400,2.616900,2.647900,2.748700,2.856200,2.955400
2006-11-03,2.205500,2.452700,2.589400,2.617500,2.647900,2.748600,2.856200,2.955400
2006-11-06,2.231200,2.575100,2.629100,2.638300,2.655700,2.752800,2.859000,2.956600
2006-11-07,2.302300,2.693100,2.767900,2.703500,2.683000,2.764100,2.863000,2.957700
2006-11-08,2.426400,2.844300,2.829400,2.775500,2.708200,2.767700,2.866300,2.959700
2006-11-09,2.517700,2.940500,3.087900,2.950700,2.723600,2.777500,2.869800,2.962200
2006-11-10,2.619800,3.197500,3.198200,3.083600,2.740100,2.788900,2.872900,2.965200
2006-11-13,2.807100,3.240900,3.345700,3.179400,2.755100,2.799000,2.877500,2.970200
2006-11-14,3.607400,3.639500,3.780400,3.233500,2.770700,2.808700,2.884900,2.977200
2006-11-15,3.535500,3.692900,3.749000,3.234200,2.775000,2.816500,2.889600,2.980900
2006-11-16,3.229200,3.534300,3.720000,3.260100,2.776400,2.820700,2.893100,2.983100
2006-11-17,3.191800,3.825800,3.732800,3.258300,2.777400,2.825500,2.896400,2.984800
2006-11-20,3.264500,3.940900,4.049700,3.308600,2.782500,2.831000,2.900100,2.986000
2006-11-21,3.428900,4.001600,4.052200,3.387400,2.789500,2.835900,2.907500,2.991200
2006-11-22,3.515800,3.709100,4.011700,3.415500,2.791600,2.837400,2.908700,2.993900
2006-11-23,3.539900,3.716500,4.007300,3.365100,2.795200,2.839800,2.910300,2.995500
2006-11-24,3.510100,3.886100,3.990500,3.314000,2.802800,2.846200,2.913300,2.996800
2006-11-27,3.205000,3.174700,3.446500,3.244800,2.801800,2.846300,2.916200,2.997600
2006-11-28,2.774400,3.072800,3.318600,3.135600,2.802300,2.846700,2.918700,2.998400
2006-11-29,2.554700,2.513700,2.884200,3.125900,2.803800,2.847300,2.919900,2.999200
2006-11-30,2.416100,2.427000,2.748700,3.084700,2.805400,2.848400,2.921100,2.999600
2006-12-01,2.337000,2.385100,2.635900,3.016000,2.808600,2.849500,2.921200,2.999800
2006-12-04,2.180300,2.354300,2.651900,2.838000,2.809000,2.851600,2.922800,3.000100
2006-12-05,2.109500,2.316500,2.525200,2.754000,2.809600,2.853500,2.923900,3.000600
2006-12-06,2.064000,2.295900,2.467400,2.729100,2.809300,2.854500,2.924700,3.000800
2006-12-07,2.006300,2.264300,2.400700,2.714100,2.809400,2.856300,2.925900,3.000800
2006-12-08,1.991900,2.246300,2.388200,2.665600,2.809600,2.857900,2.926600,3.001000
2006-12-11,1.991400,2.242400,2.367000,2.627000,2.808900,2.859800,2.927600,3.001200
2006-12-12,1.918100,2.210100,2.361000,2.590000,2.808000,2.860400,2.928200,3.001300
2006-12-13,1.893100,2.228300,2.361800,2.580900,2.808000,2.860900,2.928600,3.001300
2006-12-14,1.858900,2.062700,2.346400,2.572300,2.807900,2.861200,2.928900,3.001400
2006-12-15,1.777700,2.048600,2.337300,2.576700,2.807300,2.861500,2.929100,3.001500
2006-12-18,1.724700,2.024800,2.312300,2.571700,2.807600,2.862500,2.929400,3.001600
2006-12-19,1.656600,2.022200,2.325600,2.569900,2.807200,2.864400,2.929700,3.001700
2006-12-20,1.613000,1.978900,2.404000,2.569600,2.806600,2.865800,2.929800,3.001700
2006-12-21,1.601500,1.901600,2.358300,2.570300,2.806900,2.866900,2.929900,3.001800
2006-12-22,1.631100,2.052000,2.330000,2.573000,2.807000,2.867400,2.929900,3.001900
2006-12-25,1.612300,2.289600,2.400300,2.571200,2.807200,2.867400,2.930000,3.001900
2006-12-26,1.643100,2.284100,2.484600,2.567200,2.807300,2.867800,2.930000,3.002000
2006-12-27,1.718500,2.278500,2.481700,2.580200,2.807600,2.868000,2.930000,3.002000
2006-12-28,1.710700,2.075300,2.377300,2.583200,2.807900,2.868100,2.930100,3.002000
2006-12-29,1.720300,1.964100,2.223600,2.585200,2.808000,2.868200,2.930100,3.002000
2006-12-30,1.565100,1.918200,2.074400,2.584800,2.808100,2.868300,2.930100,3.002100
2006-12-31,1.567500,1.632100,1.975300,2.583300,2.808200,2.868500,2.930100,3.002100
2007-01-04,1.431000,1.523800,2.166700,2.577400,2.807700,2.868500,2.930600,3.002200
2007-01-05,1.404700,1.505700,2.049200,2.571700,2.807900,2.868600,2.930500,3.002300
2007-01-08,1.372100,1.452400,2.030300,2.558800,2.808000,2.868700,2.930600,3.002300
2007-01-09,1.354600,1.440500,1.978100,2.557200,2.808300,2.868700,2.930700,3.002400
2007-01-10,1.351900,1.426200,1.931200,2.546300,2.808200,2.868800,2.930800,3.002500
2007-01-11,1.334400,1.412200,1.901800,2.534300,2.808100,2.868800,2.930800,3.002400
2007-01-12,1.305100,1.404700,1.778400,2.525400,2.807900,2.868800,2.930800,3.002400
2007-01-15,1.299700,1.380000,1.750000,2.520700,2.807800,2.868900,2.930900,3.002400
2007-01-16,1.280900,1.373300,1.666800,2.516800,2.807900,2.868900,2.930900,3.002400
2007-01-17,1.317100,1.498600,1.773200,2.516700,2.807900,2.868900,2.931100,3.002400
2007-01-18,1.423600,1.504800,1.993600,2.517100,2.808000,2.869000,2.931200,3.002400
2007-01-19,1.412600,1.548500,2.061100,2.517300,2.808000,2.869100,2.931300,3.002400
2007-01-22,1.419700,1.772600,2.115700,2.518000,2.808100,2.869200,2.931400,3.002400
2007-01-23,1.597200,1.964800,2.140200,2.518000,2.808100,2.869200,2.931400,3.002400
2007-01-24,1.707900,2.006100,2.169900,2.518400,2.808200,2.869300,2.931500,3.002400
2007-01-25,1.754100,2.015900,2.182200,2.518500,2.808200,2.869400,2.931600,3.002500
2007-01-26,1.788900,2.070300,2.200900,2.518600,2.808200,2.869400,2.931700,3.002500
2007-01-29,1.783000,2.103000,2.196300,2.519400,2.808200,2.869500,2.931700,3.002500
2007-01-30,1.783800,2.102200,2.183900,2.519500,2.808300,2.869600,2.931800,3.002500
2007-01-31,1.778000,2.091900,2.169500,2.519600,2.808300,2.869600,2.931900,3.002500
2007-02-01,1.760200,2.081700,2.249800,2.523600,2.808300,2.869700,2.931900,3.002500
2007-02-02,1.754900,1.991600,2.334100,2.528600,2.808300,2.869700,2.931900,3.002500
2007-02-05,1.759300,2.071800,2.622500,2.665200,2.808400,2.869700,2.932000,3.002500
2007-02-06,1.784800,2.174500,2.991000,2.840500,2.808500,2.869800,2.932000,3.002500
2007-02-07,1.839200,2.537600,3.334300,3.086200,2.815300,2.869800,2.932100,3.002500
2007-02-08,1.898300,3.524400,3.521300,3.266000,2.820400,2.869900,2.932100,3.002500
2007-02-09,2.785100,4.148500,3.878900,3.617500,2.843300,2.870000,2.932200,3.002500
2007-02-12,4.001600,4.469200,4.341000,4.049100,2.875700,2.870300,2.932400,3.002600
2007-02-13,3.368500,3.462200,3.803400,4.008900,2.874500,2.871900,2.932500,3.002600
2007-02-14,4.017400,3.996400,3.870900,3.956600,2.877200,2.871900,2.932600,3.002700
2007-02-15,3.093400,3.481700,3.149500,3.162000,2.879200,2.872100,2.932600,3.002700
2007-02-16,1.994000,2.151300,2.066800,2.807600,2.872700,2.872700,2.932600,3.002700
2007-02-17,1.514300,1.513300,1.844300,2.655700,2.865000,2.873000,2.932700,3.002700
2007-02-25,1.814700,2.910200,3.029700,2.703600,2.865400,2.872900,2.932700,3.002800
2007-02-26,1.792000,2.666200,2.905300,2.696400,2.863700,2.872900,2.932800,3.002800
2007-02-27,1.692800,2.531300,2.744800,2.689100,2.861600,2.872900,2.932800,3.002800
2007-02-28,1.652600,1.991900,2.149600,2.532600,2.853900,2.872800,2.932700,3.002800
2007-03-01,1.590300,1.758400,1.917800,2.462400,2.846800,2.872600,2.932600,3.002800
2007-03-02,1.519400,1.683800,1.798100,2.422500,2.839400,2.872200,2.932500,3.002800
2007-03-05,1.499900,1.667600,1.761800,2.307300,2.833200,2.872100,2.932400,3.002800
2007-03-06,1.468300,1.614500,1.749300,2.256100,2.829200,2.871900,2.932300,3.002800
2007-03-07,1.437500,1.549800,1.747800,2.260000,2.824700,2.871900,2.932300,3.002800
2007-03-08,1.415300,1.531600,1.753900,2.261500,2.823100,2.871900,2.932200,3.002800
2007-03-09,1.395200,1.495600,1.755300,2.261600,2.821700,2.871900,2.932200,3.002800
2007-03-12,1.380000,1.477000,1.657800,2.258700,2.821500,2.871900,2.932200,3.002800
2007-03-13,1.364300,1.460500,1.736400,2.249800,2.821100,2.871900,2.934500,3.015100
2007-03-14,1.353500,1.441900,1.756000,2.227000,2.820300,2.872000,2.937100,3.030200
2007-03-15,1.351300,1.442600,1.764500,2.230200,2.821000,2.872200,2.939700,3.045500
2007-03-16,1.408800,1.516400,1.812500,2.250300,2.821400,2.872800,2.941700,3.053300
2007-03-19,1.531300,1.664700,1.964300,2.338100,2.833500,2.889500,2.961100,3.079000
2007-03-20,1.555100,1.703300,1.956200,2.389600,2.835700,2.900800,2.972800,3.096700
2007-03-21,1.607700,1.758400,1.999100,2.411000,2.840100,2.908800,2.980400,3.109600
2007-03-22,1.648700,1.806900,2.027400,2.421200,2.844700,2.916800,2.987600,3.120200
2007-03-23,1.687100,1.865000,2.019900,2.436500,2.848000,2.924700,2.992700,3.130400
2007-03-26,1.746600,1.948700,2.077600,2.458800,2.849900,2.931200,2.998100,3.138600
2007-03-27,1.739700,1.958200,2.144700,2.498300,2.854000,2.937500,3.005000,3.150400
2007-03-28,1.801600,1.965800,2.352600,2.581900,2.857400,2.939200,3.008900,3.158900
